row_number,Unnamed: 0_x,name,speech,session,id,Unnamed: 0_y,symbol,quarter,time,title,year
0,4206,Operator,"[""Greetings, and welcome to Agrium's Second Quarter 2015 Earnings Call. At this time, all participants are in a listen-only mode. A brief question-and-answer session will follow the formal presentation. As a reminder, this conference is being recorded."", 'I would now like to turn the conference over to your host, Mr. Richard Downey, Vice President, Investor and Corporate Relations. Please go ahead, Mr. Downey.']",management_discussion,NTR.TO_88495,73,NTR.TO,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
1,4207,Richard Downey,"[""Thank you, operator. Good morning, everyone, and welcome to Agrium's 2015 second quarter conference call. On the phone with us today is Mr. Chuck Magro, President and CEO of Agrium; Mr. Steve Douglas, our CFO; and our entire executive management team to review and discuss our results."", 'As we conduct this conference call, various statements that we make about future expectations, plans and prospects contain forward-looking information. Certain material assumptions were applied in making these conclusions and forecasts. Therefore, actual results could differ materially from those contained in our forward-looking information. Additional information about these factors and assumptions are contained in our current quarterly report to our shareholders, as well as our most recent annual report, MD&A, and annual information Form filed with Canadian and U.S. Securities Commissions to which we direct you.', 'I will now turn the call over to Mr. Chuck Magro.']",management_discussion,NTR.TO_88495,73,NTR.TO,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
2,4208,Charles V. Magro,"[""Thanks, Richard, and good morning, everyone, and welcome to Agrium's second quarter earnings call. Agrium delivered strong results this quarter. One underlying factor behind this performance was our continued focus on making Operational Excellence core to everything we do. The strength of our Wholesale sales and operating performance this quarter is just one illustration of its ongoing value."", ""Agrium's EBITDA was up 10% over last year in spite of significant weather and market-related headwinds. These results were made possible by the strength of our competitive advantages across our product portfolio, the diversity of our products and our geographic reach. Our Wholesale operations delivered higher production volumes and stronger margins, even in a lower fertilizer pricing demand environment. Our Retail Distribution segment performed well in the U.S. and Australia despite tough market and weather conditions. The major variance in Retail earnings from last year was Western Canada where severe drought and currency impacted results."", 'A highlight for our Wholesale operational performance was the 35% increase in nitrogen sales tonnes over the prior year. This was made possible by strong facility utilization rates, again, this quarter. In fact, the first half of 2015 delivered the highest total production level since the year 2000 for our ammonia facilities, and they operated at our target 90% utilization rate for this period. This was supported by excellent performance from our Wholesale marketing and sales group and by optimizing our Retail Distribution channel.', ""The higher volumes and lower gas cost also contributed to lower per tonne costs. Altogether, this resulted in our nitrogen gross margins reaching $220 a tonne or almost double last year's levels. Potash production and sales volume are on track to meet our target, as we continue to ramp up our expansion of Vanscoy. We surpassed our target of 700,000 tonnes for the first half, and we are maintaining our estimate of 2.1 million tonnes for 2015. We have seen our potash cash cost of production decline to $110 a tonne this quarter, and we expect a further reduction in the second half of the year."", 'Phosphate results remain strong, with margins of just over $100 a tonne and gross profit of $29 million achieved despite conducting plant turnarounds at both sites in June. The Retail Distribution business faced three major headwinds this spring; adverse weather conditions, lower sentiment and currency. Weather conditions across North America were challenging, with record amounts of moisture across most of the Corn Belt and Southeast U.S in June, and a serious drought in Western Canada. The drought reduced demand for crop inputs and services in Canada. The wet weather in the Corn Belt prevented growers from accessing their fields to sidedress nitrogen and apply crop protection products, and also prevented some soybean acres from getting planted in the southern states.', ""In California, the ongoing drought removed at least 700,000 acres from production. Despite this, our California business is performing well due to strong demand for permanent crops and higher value fruits and vegetables. Grower sentiment was impacted by lower crop price environment, which led to a shift in seeded acreage, influenced growers' purchases and compressed seed margins. We also saw an acreage shift away from some input-intensive crops, such as corn, cotton and canola towards less intensive crops such as soybeans and sorghum."", 'Despite these factors, our market intelligence indicates our U.S. Retail Distribution operations performed significantly better than our peers. One example of this was the prevailing sentiment at the recent Southwest Fertilizer Conference that U.S. nutrient demand was down this spring compared to last year. Comparatively, our U.S. Retail business achieved a 3% increase in nutrient sales volume. Despite these conditions, we held our nutrient margins to similar levels to last year in the U.S., with margins at $107 a tonne this quarter compared to $111 per tonne for the same quarter last year.', 'In crop protection, we delivered impressive results under tough market conditions. We achieved higher year-over-year margins, sales volumes and gross profit in North America this quarter. This was largely attributed to continued growth of our Loveland proprietary products line, which saw a 10% increase in sales this quarter and represented 23% of our total crop protection sales.', 'The seed market was the most heavily impacted by lower crop prices. And the shift in crop acreage this year to lower valued crops, as well as some trading-down of seed traits. We increased sales of our proprietary seed lines year-over-year, which supported our seed margins and again demonstrates the importance of our proprietary products strategy.', 'In total, our retail metric fell short of targets this quarter, but we are focused on implementing a variety of Operational Excellence initiatives to ensure we continue to make solid progress towards them in the future. While our normalized comparable store sales were down 1% year-over-year, we believe that we outperformed the market as we estimate total North American crop expenditures were down approximately 5%, largely due to changes in crop acreage.', 'Moving from our results to our expansion projects, we mentioned we have kept our annual potash production target at 2.1 million tonnes and our Canpotex proving run remains scheduled to start in the second half of this year. And I also want to provide an important update on our border expansion project that we have made changes to its scope. Our original scope encompass a refresh and expansion to the existing ammonia plant and the building of a new 610,000 tonne urea facility.', ""After careful consideration, we've made the decision to reduce the scope in order to de-risk the project to manage project cost pressures and ensure the highest possible returns. In this regard, we will finish building the new urea plant and refresh the existing ammonia facility to improve on-stream time and to ensure continued operation of the Borger facility, which is our oldest nitrogen plant. However, we have decided not to expand the existing ammonia plant given the high cost and the significantly longer downtime required to complete this portion of the project than was originally planned."", 'In effect, the economic returns on 145,000-tonne debottleneck do not justify the cost or risk of this component of the project. The project CapEx remains within 5% of the original $720 million estimate. We anticipate the completion of the ammonia facility refresh in the first quarter of 2016, and to have the urea plant mechanically complete by the end of 2016. The IRR for the project is expected to still be in the double-digits, and the scope change is not expected to have a material impact on our future earnings. We believe the revised project plan is the best option to preserve returns and to manage the risk going forward.', 'I would like to turn over the call now to Steve Douglas to review our key financial metrics.']",management_discussion,NTR.TO_88495,73,NTR.TO,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
3,4209,Steven J. Douglas,"[""Thank you, Chuck, and good morning, everybody. Agrium's results this quarter were strong with adjusted earnings at $4.90 per share, bringing our first half adjusted earnings to $5.01 per share, which is right in the middle of our guidance range. We also grew our earnings over last year in spite of a more challenging market condition, which shows the unique strength of our business model."", ""We are committed to ensuring we deliver on our capital allocation vision and strategy, and as Chuck just discussed, we're willing to make difficult decisions if projects are not meeting return expectations. We expect our total capital expenditures to come in at our previous range of $1.2 billion to $1.3 billion for 2015, and $800 million to $900 million in 2016."", 'We continue to execute on our existing share buyback program, and repurchased approximately 1 million shares since the end of March. We also expect to be active on our share buyback program through the second half of this year.', 'Our financial capacity and flexibility is derived from our strategic competitive strengths, which underpin our strong cash flow generation and our balance sheet position. In this regard, we have $2.2 billion of undrawn lines of credit and over $640 million of cash on hand.', 'Our net debt-to-EBITDA is 2.5 times on a rolling-four quarters basis, well within our targeted comfort zone. This ratio has remained steady over the last three quarters and is expected to decline as we move into next year. The average interest on our long-term debt is 5% and we have less than $700 million maturing in the next five years.', ""I am pleased to report we already exceeded the $475 million target that we've set for our Operational Excellence program, well ahead of our 2017 target timeline, which includes $350 million of one-time cash realization initiatives and $125 million of recurring EBITDA improvement. The one-time cash realizations have been achieved primarily through our portfolio review and reductions in our working capital."", ""Recurring EBITDA improvements have been driven by logistics and procurement efficiencies, lower operating costs and reductions in G&A costs over 25% since 2013. We will continue to set aggressive goals in this area in order to build upon the momentum we've achieved to-date."", 'The new Alberta government recently announced an increase to the corporate tax rate from 10% to 12%. The impact to Agrium in the second quarter this year was $21 million. The majority of which was a one-time adjustment on a non-cash basis to a deferred tax liability on our balance sheet. As a result, our 2015 effective tax rate will move from approximately 27% to 29%, and expect that after 2015 the effective tax rate will be somewhere around 28%.', ""We've provided updated 2015 annual guidance for earnings of $7 to $7.50 per share. We believe nutrient prices are at or near floor price levels, that our costs will remain low and our plant utilization rates will remain strong. However, we did move significant wholesale volumes in this quarter, which resulted in lower ending inventories in June across all nutrients. We anticipate second-half retail earnings will be similar to levels achieved over the past few years."", 'I want to emphasize that our free cash flow message remains intact. We generated over $4 per share of free cash flow in the first half of 2015. We are still on target to meet our objectives, remain committed to both expanding capital returns to shareholders and to continue to grow the business. It is possible due to our stable, yet growing earnings profile, our continued focus on OpEx and the strength in our balance sheet.', 'With that, I will turn it back to Chuck for his thoughts on our outlook.']",management_discussion,NTR.TO_88495,73,NTR.TO,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
4,4210,Charles V. Magro,"['Thanks, Steve. Turning to the market outlook. The wet weather in the U.S. Corn Belt reduced yield potential such that record yields are unlikely to be attained this year. However, the excess moisture came after most crops had been seeded and emerged and too much rain on its own rarely has a dramatic impact on average U.S. yields. We are still cautiously optimistic for the second half, as we see nutrient prices already near floor price levels and expect our operations to continue to achieve low cost of production.', 'The excess rain in the U.S. this year has likely contributed to nitrogen loss in soil, which will support nitrogen applications this fall. One variable we are monitoring is moisture levels in Western Canadian soils as growers in this region will need additional moisture in order to apply normal levels of fall ammonia.', ""Before I wrap up, I'd like to take a moment to welcome Harry Deans who will be officially starting at Agrium in less than two weeks to assume the role of Wholesale President. Harry comes to us from the INEOS Group in Switzerland where he was most recently CEO of INEOS Nitriles. Harry has over two decades of experience, managing petrochemical and commodity businesses, as well as significant large project expertise, and we're excited to have him join our team. Ron Wilkinson will remain at Agrium as a special advisor to the CEO."", ""I would like to finish our comments this morning by reinforcing that Agrium's strategy, our competitive advantages across our product lines, growing free cash flow and clearly articulated capital allocation plans make for a positive outlook for the company. As Steve Douglas has just mentioned, we generated over $4 per share of free cash flow in the first six months of the year, which is up 15% from a year ago and illustrates our cash flow generation potential even in a lackluster market environment."", 'Our free cash flow is expected to grow, as our potash expansion continues to ramp up, as we grow retail and we recognize increasing benefits from our focus on Operational Excellence. Our unique business model sets us apart from our peers and we are confident it will generate excellent returns for our shareholders.', ""With that, I'd like to open the call up for questions.""]",management_discussion,NTR.TO_88495,73,NTR.TO,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
5,4211,Operator,['Thank you. Thank you. Our first question is from the line of Ben Isaacson with Scotiabank. Please go ahead with your question.'],question_answer,NTR.TO_88495,73,NTR.TO,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
6,4212,Ben Isaacson,"[""Thank you very much. Just one question. When I take a look at your commentary about drought in Western Canada or California and wet weather in the Corn Belt, it kind of raises the question about what is normal weather. And as we saw this quarter, that does have an impact to your business in terms of pricing and margins. So without opening up a climate change debate, I mean, is this a trend that you're seeing or is it the risk that needs to be managed over the next kind of four, five years or so?""]",question_answer,NTR.TO_88495,73,NTR.TO,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
7,4213,Charles V. Magro,"[""Yeah. It's a great question, Ben. Look, we're not in the business of forecasting weather, of course. But what I can tell you is, we do expect that you're going to – we're going to have challenges every year when it comes to the growing conditions. And if you look at the Retail business model specifically, that's why we're on so many different crops and so many regions around the world is to diversify our portfolio. And when you look at our overall results ,even though you never want to see retail numbers head downwards, when you step back and you look at retail's overall performance, in a pretty tough market conditions with really difficult weather, you look at that and say the Retail business has actually performed exceptionally well."", ""I mentioned comments on my prepared remarks with the Southwest Fertilizer Conference, we're hearing retailers that are regionally based being down 20% or more in certain regions. The seed and chemical guys were down over 10% and yet we did have a major drought in Western Canada, which really hurt the Western Canadian business. But the Australia business, from an EBITDA perspective, was up. Our U.S. business was down only modestly, about 3%, I believe, year-over-year. So when you look at that, I think that we are going to continue to see weather challenges and that's why our strategy of being large and diversified, I think, add so much value.""]",question_answer,NTR.TO_88495,73,NTR.TO,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
8,4214,Operator,['Thank you. Our next question is from the line of Andrew Wong with RBC Capital Markets. Please go ahead with your question.'],question_answer,NTR.TO_88495,73,NTR.TO,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
9,4215,Andrew D. Wong,"[""Hi. Thanks for taking my questions. So – I mean, this is probably a little bit too early right now, but with farmers coming back on spending this year, if we enter next year with a similar dynamic in the ag markets with crop prices where they are, would you expect a similar response from farmers and continued challenges on pricing and margin? And then, just kind of on top of that, with the cut-back in crop inputs, chemicals, seed, fertilizers, can we expect to see any impact on yields with the lower spending, and if we don't, what does that tell us about the value add from the crop inputs side of things?""]",question_answer,NTR.TO_88495,73,NTR.TO,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
