row_number,Unnamed: 0_x,symbol,id,quarter,time,title,year,Unnamed: 0_y,name,speech,session
0,14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022,636,Operator,"[""Greetings, and welcome to Nutrien's 2022 First Quarter Earnings Call. [Operator Instructions] As a reminder, this conference is being recorded."", 'I would now like to turn the conference over to Jeff Holzman, Vice President of Investor Relations. Thank you. Please go ahead.']",management_discussion
1,14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022,637,Jeff Holzman,"[""Thank you, operator. Good morning, and welcome to Nutrien's First Quarter 2022 Conference Call. As we conduct this call, various statements that we make about future expectations, plans and prospects contain forward-looking information. Certain material assumptions were applied in making these conclusions and forecasts. Therefore, actual results could differ materially from those contained in our forward-looking information.\r\nAdditional information about these factors and assumptions are contained in our current quarterly report to shareholders as well as our most recent annual report, MD&A and annual information form filed with Canadian and U.S. Securities Commissions."", 'I will now turn the call over to Ken Seitz, Interim President and CEO; and Pedro Farah, our CFO, for opening comments before we take your questions.']",management_discussion
2,14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022,638,Kenneth Seitz,"[""Thanks, Jeff. And good morning, and welcome to Nutrien's First Quarter Earnings Call. Before we get into the discussion of our results and outlook, I would like to express our thoughts and sympathies to all those that have been impacted by the conflict in Ukraine. We see the significant toll that has taken on the people in Ukraine, and it hits close to home for many of our employees, customers and other stakeholders that have family and friends in the region."", ""The conflict has also compounded supply challenges that have contributed to higher commodity prices and escalated concerns for global food security. Russia and Ukraine account for over 20% of the global exports for many agriculture and fertilizer commodities, and there's no simple or fast solution to overcome this level of supply disruption. As the world's largest fertilizer producer and retailer crop input, Nutrien has taken several actions to help our customers secure the products they need."", 'In Potash, we are expanding production capability to approximately 15 million tonnes in 2022, an increase of 1 million tonnes compared to our initial expectations. This represents a nearly 20% increase compared to 2020 and accounts for more than 70% of global potash production added during this time. We have expanded our nitrogen production capacity by nearly 1 million tonnes since the beginning of 2018 and are in the process of adding an additional 0.5 million tonnes over the next few years, while improving the carbon footprint of our facilities.', ""Our Retail business operates in 7 countries across North America, South America and Australia. These are key agricultural regions that will be called on to sustainably increase crop production. And our team of 3,900 crop consultants work every day to provide innovative products and solutions that meet the needs of our grower customers. I'm extremely proud of how our people have stepped up across the organization, as we respond to this critical time for global agriculture and do so in a manner that does not compromise our core values of safety and integrity."", 'Now turning to our Q1 results and outlook. We delivered higher earnings across each of our business units due to the strength of the market fundamentals, advantaged position of our assets and solid execution by our people. The year-over-year growth in earnings was further supported by recent strategic capital allocation decisions that included expanding our production capabilities and increasing the size of share buybacks over the past 2 quarters.', 'Nutrien Ag Solutions delivered record first quarter adjusted EBITDA of $240 million despite a delayed start to the spring season in North America. Our per tonne crop Nutrien margins remained strong due to the timing of procurement in a rising price environment and continued growth in our proprietary nutritional products. We delivered higher crop protection gross margins, as growers engaged early to purchase product ahead of the spring season. We strategically procured inventory of certain products in anticipation of tight global supply and our margins in Q1 reflect this effort.', ""Potash delivered $1.4 billion in adjusted EBITDA, supported by higher realized prices. Global demand was strong as buyers look to secure product in the midst of supply uncertainty from Belarus and Russia. We increased offshore potash sales volumes by 8% compared to the previous year. However, shipments were impacted by rail service interruptions during the quarter. North American sales volumes were impacted by a delayed start to the spring season and were down compared to last year's very strong first quarter."", 'In nitrogen, we generated adjusted EBITDA of $1 billion, driven by higher realized prices and the cost advantaged position of our assets. We experienced some unplanned outages during the quarter, and sales volumes were also impacted by a slow start to the spring season.', 'Phosphate delivered record adjusted EBITDA of $239 million as higher sales prices more than offset the large increase in ammonia and sulfur input costs.', 'Turning to the outlook. Global grain and oilseed inventories were well below historical average levels entering 2022, and the conflict in Ukraine has led to further tightening of supplies. Corn, soybean and wheat futures prices are 50% to 90% above the 10-year average and are trading at elevated levels on a multiyear basis.', 'Prospective crop margins are significantly above historical average levels as the increase in revenues from higher crop prices has more than exceeded the projected increase in input costs. Weather permitting, we expect planted acreage to increase in the key agricultural regions in which we operate with the strong incentives for growers to maximize production. The North American spring planting season is behind the historical average pace, but there is still time to get the crop in the ground, and our retail network is well positioned to deliver in a compressed season.', 'We are seeing strong demand in the regions where planting has progressed and have all-time high customer prepayments on account, which is a good indicator of grower intent.', 'Financial sanctions and other restrictions imposed on Russia and Belarus have constrained potash supply with minimal exports from this region reported since early March. These 2 countries represent approximately 40% of global potash exports, and there is limited available for production capacity in other regions to help fill this supply gap.', 'Therefore, we expect global potash shipments will decline to between 60 million and 65 million tonnes in 2022, and we assume a wider-than-normal range given the level of supply uncertainty from Eastern Europe. Nutrien expects to ship record potash volumes between 14.5 million to 15.1 million tonnes, with most of the growth projected in offshore markets.', 'We expect nitrogen markets to remain strong through 2022 due to lower Russian exports and volatile European gas prices that are currently setting the floor for ammonia and urea prices. Chinese urea exports have been restricted in the first half of 2022, and we believe there is potential for restrictions in the second half if the government intends on maintaining the current discount for Chinese domestic prices compared to other global markets.', 'We are discussing these supply challenges in the context of 2022; however, we believe these issues could extend well beyond this year. Sanctions on Russia and Belarus have the potential to create more lasting changes to global trade patterns, as customers prioritize reliability of supply. We anticipate volatility in global energy prices due to greater supply uncertainty from Russia.', 'And we expect some delays in the development of a new capacity from this region as access to financing, equipment and other resources becomes more challenging. We will closely monitor global market developments, as we assess opportunities to increase our potash production capability beyond 15 million tonnes. Increasing production on a sustained basis requires opening up new ground, installing additional equipment and infrastructure, hiring more people and securing outbound logistics. These are decisions that require careful planning, as they have long-term impacts on our operations and our people.', 'We intend to provide more details at our virtual investor update meeting on June 9. I will now turn it over to Pedro to review how we expect these market conditions to impact our 2022 guidance and our approach to capital allocation going forward. Pedro?']",management_discussion
3,14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022,639,Pedro Farah,"[""Thanks, Ken. Given the significant changes in market fundamentals, we have increased our 2022 adjusted EBITDA guidance to $14.5 billion to $16.5 billion. At the midpoint, this represents a nearly 50% increase from our initial full year guidance in February. We expect earnings to be fairly evenly split between the first and second half of the year with the pace of planting [indiscernible] to have some impact on the timing of earnings between quarters. We are projecting Retail adjusted EBITDA between $1.8 billion and $1.9 billion. And crop nutrient and crop protection margins are expected to be stronger than previously anticipated. Crop prices have risen materially since the beginning of the year, and we expect growers will be incentivized to maximize yields, which typically contributes to strong in-season demand for crop protection and specialty nutritional products.\r\nSimilar to previous years, we expect 60% to 65% of Retail's adjusted EBITDA will be generated in the second quarter. We significantly increased our potash adjusted EBITDA guidance due to the expectation for higher realized prices and increased sales volumes. Cost of goods sold per tonne are expected to increase in 2022 due primarily to higher royalties, which are directly tied to selling prices."", 'Excluding the impact of royalties, natural gas and carbon taxes, we expect considerable cash costs to be comparable with the previous years, as higher production volumes offset inflation. Our increase in nitrogen adjusted EBITDA guidance reflects higher global benchmark prices and a very competitive cost position compared to producers in Europe.', 'We lower our nitrogen sales volume expectation due to the plant outages that occurred in Q1. We are taking a number of actions to enhance plant reliability, including incremental investments to protect our sites from severe weather events and expect higher operating rates over the remainder of 2022.', 'We expect to generate $10.5 billion to $11 billion in cash from operating activities, assuming a cash conversion ratio of approximately 70% at the midpoint of our 2022 adjusted EBITDA guidance range. This represents a slightly lower conversion rate that we assume in February, as the increase in input prices is expected to translate into greater working capital requirements in this period. The majority of our cash flow is expected to be generated in the second and the fourth quarters due to the seasonal working capital profile of Retail.', 'Our priorities for investment capital remain very consistent with our long-term strategy and what we communicated in February. However, given the potential for increased cash flow, we are evaluating the viability to accelerate a few high-return growth opportunities. We announced a 1 million tonne increase to our potash production capability in March, which will require a small incremental capital investments for mine phasing equipment and mine development. As Ken already mentioned, we are closely looking at the potential to further ramp our potash production capability above 15 million tonnes.', 'We are evaluating opportunities across our nitrogen business that would enhance the product mix and improve the environmental footprint of our facilities, including expanding our leading low-carbon ammonia position.', 'In Retail, there is a strong pipeline of acquisition opportunities in Brazil and the U.S., and we will maintain a disciplined approach, as we evaluate these opportunities.', 'In terms of capital -- in terms of investment capital, our focus is on initiatives that enhance our proprietary product business and digital capabilities, which are key drivers of Retail organic growth. We committed to a minimum of $2 billion in share repurchases in 2022. And year-to-date, we have allocated nearly $740 million, repurchasing approximately 9 million shares at an average price of around $81 per share. Given the strength of our projected cash flow, we believe there is potential for additional shareholder returns as the year progresses.', 'We will provide a more in-depth update on our capital allocation plans at the Investor Update Meeting on June 9. I will now pass it back to Ken for final comments.']",management_discussion
4,14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022,640,Kenneth Seitz,"[""Thanks, Pedro. The importance of global agriculture to help sustainably feed a growing world has never been clear. It is increasingly apparent that the supply issues currently impacting agriculture and fertilizer markets could last well beyond 2022. Nutrien is responding in the near term by utilizing the full extent of our integrated sustainable agriculture platform to provide customers with the products they need for the upcoming growing season. And we are thoroughly evaluating our longer-term plans to ensure we deliver the greatest value for all our stakeholders. I'm joined today by members of our leadership team, and we would be happy to take your questions.""]",management_discussion
5,14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022,641,Operator,['[Operator Instructions] Your first question is from the line of Andrew Wong with RBC Capital Markets.'],management_discussion
6,14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022,642,Andrew Wong,"[""So the sanctions on Belarus and Russia. They're probably the biggest change that we've seen in the potash market structure since the breakup of BPC, almost 10 years ago. And these effects seem to be relatively long lasting. So can you just talk about how the Belarus-Russia situation changes your longer-term view on the market? And I'd be curious, Ken, you had a pretty good seat at Canpotex to kind of see some of the market changes over the past 5, 10 years. I'd be curious your thoughts on where we are going forward.""]",question_answer
7,14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022,643,Kenneth Seitz,"['Yes. Thanks, Andrew. Yes. So absolutely, it is the case that we watched this terrible tragedy unfolds in Eastern Europe and thinking about people in the region every day. We are watching the impacts that sanctions are having first, as you mentioned, on Belarus and Russia as well.', ""And while potash itself is not sanctioned in Russia, certainly, the enabling activities for export of anything out of Russia at the moment are challenged, whether it's banking or shipping or insurance and so on. So -- and then, of course, with Belarus, the sanctions were there prior to this conflict and having really no access, tidewater being shut off from the ports in Lithuania. So as these things have unfolded, as you say, Andrew, we're looking at duration and how long this might last and the longer-term implications for potash. And we're coming to the conclusion, as we said in the opening remarks, that these could last well beyond 2022, and hence, are looking at our own capabilities accordingly."", ""But I'll hand it over to Jason Newton, our Chief Economist, to just provide a little more color.""]",question_answer
8,14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022,644,Jason Newton,"[""Yes. I think in terms of overall supply-demand impact, certainly, there's a really large potential for supply constraints in 2022 just given, as Ken mentioned, the restrictions on Belarusian shipment to tidewater and all of different sanctions impacting Russian production."", 'In terms of quantifying the impact, if we compare to the sort of base operational capability in Belarus around 13 million tonnes, operational capability in Russia around 15 million tonnes. We think Belarusian supplies will be down around 6 million to 8 million tonnes this year and Russia in the range of 2 million to 6 million tonnes this year.', 'Going forward, it will take some time to rebuild those export capabilities. And we believe Belarus will continue to be most restricted going forward, as they have the need to rebuild or build port capacity, which takes time especially in the face of sanctions. And then we also know that, that region makes up about 60% to 70% of the capacity additions that we expect to come forward over the next 5 years. And we believe those will also be delayed going forward. So in any case, we have a tighter supply-demand outlook going forward than we would have previously.']",question_answer
9,14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022,645,Kenneth Seitz,"[""Yes. So thanks, Jason. And maybe just, Andrew, then finally, your question about Canpotex and that vantage point. It is the case that really growers around the world with -- what's happened with commodity prices are incentive to lay down appropriate crop nutrients. And then you layer on that some of the challenges that Jason just described and you can imagine that Canpotex, their phones are ringing as people look for alternative sources of supply."", ""Could it be that global trade routes are disrupted? I think we're seeing that today. But suffice it to say that certainly, from a global demand perspective, Canpotex has homes for potash and for increased levels of potash. And that's what's driving, as we said in our opening comments, us looking at the potential to accelerate our ramp-up of potash production.""]",question_answer
