,symbol,id,quarter,time,title,year
0,NTR.TO,NTR.TO_3251193,1,2023-05-11 14:01:01,NTR.TO - Earnings call Q1 2023,2023
1,NTR.TO,NTR.TO_3250878,1,2023-05-11 10:01:01,Earnings call Q1 2023,2023
2,NTR.TO,NTR.TO_3250762,0,2023-05-10 21:31:01,Shareholder/Analyst Call - Nutrien Ltd.,0
3,NTR.TO,NTR.TO_3230869,0,2023-03-01 15:51:01,BofA Securities Global Agriculture and Materials Conference 2023,0
4,NTR.TO,NTR.TO_3231139,-1,2023-02-28 13:31:01,"Nutrien Ltd (NTR) Presents at BMO Global Metals, Mining and Critical Minerals Conference",2023
5,NTR.TO,NTR.TO_3228742,4,2023-02-16 15:01:01,NTR.TO - Earnings call Q4 2022,2022
6,NTR.TO,NTR.TO_3228502,4,2023-02-16 10:01:01,Earnings call Q4 2022,2022
7,NTR.TO,NTR.TO_1172466,3,2022-11-03 14:01:01,NTR.TO - Earnings call Q3 2022,2022
8,NTR.TO,NTR.TO_607239,2,2022-08-04 14:01:01,NTR.TO - Earnings call Q2 2022,2022
9,NTR.TO,NTR.TO_603480,2,2022-08-04 10:01:01,NTR.TO - Earnings call Q2 2022,2022
10,NTR.TO,NTR.TO_410005,0,2022-06-09 14:31:01,Special Call - Nutrien Ltd.,0
11,NTR.TO,NTR.TO_406300,0,2022-06-08 15:01:01,Special Call - Nutrien Ltd.,0
12,NTR.TO,NTR.TO_339405,0,2022-05-17 21:31:01,Shareholder/Analyst Call - Nutrien Ltd.,0
13,NTR.TO,NTR.TO_329399,0,2022-05-12 17:01:01,Goldman Sachs Industrials & Materials Conference,0
14,NTR.TO,NTR.TO_312688,1,2022-05-03 14:01:01,NTR.TO - Earnings call Q1 2022,2022
15,NTR.TO,NTR.TO_270393,4,2022-02-17 10:01:01,NTR.TO - Earnings call Q4 2021,2021
16,NTR.TO,NTR.TO_228577,0,2021-11-10 11:46:01,"NTR.TO - Morgan Stanley Global Chemicals, Agriculture, and Packaging Conference",0
17,NTR.TO,NTR.TO_225940,3,2021-11-02 10:01:01,NTR.TO - Earnings call Q3 2021,2021
18,NTR.TO,NTR.TO_223673,0,2021-09-09 10:01:01,NTR.TO - 2021 RBC Capital Markets Global Industrials Conference,0
19,NTR.TO,NTR.TO_222630,2,2021-08-10 10:01:01,NTR.TO - Earnings call Q2 2021,2021
20,NTR.TO,NTR.TO_208018,0,2021-06-09 10:01:01,NTR.TO - Special Call,0
21,NTR.TO,NTR.TO_208020,0,2021-05-17 17:31:01,NTR.TO - General Meeting,0
22,NTR.TO,NTR.TO_208021,0,2021-05-12 11:21:01,Goldman Sachs Industrials and Materials Conference 2021,0
23,NTR.TO,NTR.TO_208023,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
24,NTR.TO,NTR.TO_2989396,-1,2021-03-03 14:01:01,Nutrien Ltd.'s (NTR) Management Presents at Bank of America 2021 Global Agriculture & Materials Brokers Conference,2021
25,NTR.TO,NTR.TO_208028,0,2021-03-03 14:01:01,Bank of America 2021 Global Agriculture & Materials Conference,0
26,NTR.TO,NTR.TO_208031,4,2021-02-18 10:01:01,NTR.TO - Earnings call Q4 2020,2020
27,NTR.TO,NTR.TO_208032,0,2020-11-30 13:01:01,NTR.TO - Investor Day,0
28,NTR.TO,NTR.TO_208034,3,2020-11-03 10:01:01,NTR.TO - Earnings call Q3 2020,2020
29,NTR.TO,NTR.TO_208036,0,2020-09-15 15:16:01,Credit Suisse 33rd Annual Virtual Basic Materials Conference,0
30,NTR.TO,NTR.TO_208038,2,2020-08-11 10:01:01,NTR.TO - Earnings call Q2 2020,2020
31,NTR.TO,NTR.TO_208044,0,2020-05-14 16:21:01,Goldman Sachs Industrials & Materials Conference,0
32,NTR.TO,NTR.TO_208045,1,2020-05-07 10:01:01,NTR.TO - Earnings call Q1 2020,2020
33,NTR.TO,NTR.TO_208047,0,2020-05-06 17:31:01,NTR.TO - General Meeting,0
34,NTR.TO,NTR.TO_208050,0,2020-02-26 10:01:01,Bank of America Merrill Lynch Agriculture & Materials Conference,0
35,NTR.TO,NTR.TO_208052,4,2020-02-19 10:01:01,NTR.TO - Earnings call Q4 2019,2019
36,NTR.TO,NTR.TO_208056,0,2019-12-04 11:01:01,Citigroup’s 2019 Basic Materials Conference 2019,0
37,NTR.TO,NTR.TO_208058,0,2019-11-13 08:46:01,Morgan Stanley Global Chemicals and Agriculture Conference,0
38,NTR.TO,NTR.TO_208062,3,2019-11-05 10:01:01,NTR.TO - Earnings call Q3 2019,2019
39,NTR.TO,NTR.TO_208063,2,2019-07-30 10:02:01,NTR.TO - Earnings call Q2 2019,2019
40,NTR.TO,NTR.TO_208064,0,2019-05-28 10:31:01,NTR.TO - Investor Day,0
41,NTR.TO,NTR.TO_208065,0,2019-05-15 09:46:01,Goldman Sachs Industrials & Materials Conference 2019,0
42,NTR.TO,NTR.TO_208066,1,2019-05-10 10:02:01,NTR.TO - Earnings call Q1 2019,2019
43,NTR.TO,NTR.TO_208067,0,2019-05-09 18:01:01,NTR.TO - General Meeting,0
44,NTR.TO,NTR.TO_208069,0,2019-02-27 10:46:01,Bank of America Merrill Lynch 2019 Global Agriculture and Materials Conference,0
45,NTR.TO,NTR.TO_208072,4,2019-02-07 10:01:01,NTR.TO - Earnings call Q4 2018,2018
46,NTR.TO,NTR.TO_208073,0,2018-11-27 15:31:01,Citi Basic Materials Conference,0
47,NTR.TO,NTR.TO_208076,3,2018-11-06 10:01:01,NTR.TO - Earnings call Q3 2018,2018
48,NTR.TO,NTR.TO_208078,0,2018-09-12 12:16:01,"31st Annual Credit Suisse Basic Materials Conference, Sep-11-2018 through Sep-13-2018",0
49,NTR.TO,NTR.TO_208079,2,2018-08-02 10:01:01,NTR.TO - Earnings call Q2 2018,2018
50,NTR.TO,NTR.TO_208080,0,2018-07-19 18:31:01,NTR.TO - General Meeting,0
51,NTR.TO,NTR.TO_208085,1,2018-05-08 10:01:01,NTR.TO - Earnings call Q1 2018,2018
52,NTR.TO,NTR.TO_208088,0,2018-02-28 10:46:01,Bank of America Merrill Lynch 2018 Global Agriculture and Chemicals Conference,0
53,NTR.TO,NTR.TO_208090,0,2018-02-27 08:01:01,BMO Capital Markets 27th Global Metals & Mining Conference,0
54,NTR.TO,NTR.TO_208091,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
55,NTR.TO,NTR.TO_120538,2,2017-07-27 23:46:48,Earnings call Q2 2017,2017
56,NTR.TO,NTR.TO_216946,0,2017-05-18 22:38:04,Potash Corp's (POT) CEO Jochen Tilk Presents at BMO Capital Markets 12th Annual Farm to Market Conference,2017
57,NTR.TO,NTR.TO_116883,1,2017-05-02 10:01:01,Earnings call Q1 2017,2017
58,NTR.TO,NTR.TO_116359,1,2017-04-28 00:30:32,Earnings call Q1 2017,2017
59,NTR.TO,NTR.TO_112862,4,2017-02-10 10:01:01,Earnings call Q4 2016,2016
60,NTR.TO,NTR.TO_111869,4,2017-01-26 13:01:01,Earnings call Q4 2016,2016
61,NTR.TO,NTR.TO_109181,3,2016-11-03 19:30:31,Earnings call Q3 2016,2016
62,NTR.TO,NTR.TO_108073,3,2016-10-27 21:00:15,Earnings call Q3 2016,2016
63,NTR.TO,NTR.TO_2265857,-1,2016-09-20 21:16:16,Potash Corporation of Saskatchewan's (POT) CEO Jochen Tilk Presents at Scotiabank Fertilizer & Chemicals Conference,2016
64,NTR.TO,NTR.TO_105166,2,2016-08-04 10:01:01,Earnings call Q2 2016,2016
65,NTR.TO,NTR.TO_103977,2,2016-07-28 23:58:44,Earnings call Q2 2016,2016
66,NTR.TO,NTR.TO_216822,-1,2016-05-18 17:51:22,Potash Corporation of Saskatchewan's (POT) CEO Jochen Tilk Presents at Goldman Sachs Basic Materials Brokers Conference,2016
67,NTR.TO,NTR.TO_100619,1,2016-05-04 20:02:13,Earnings call Q1 2016,2016
68,NTR.TO,NTR.TO_99831,1,2016-04-28 13:01:01,Earnings call Q1 2016,2016
69,NTR.TO,NTR.TO_95863,4,2016-02-09 11:31:01,Earnings call Q4 2015,2015
70,NTR.TO,NTR.TO_95094,4,2016-01-29 00:25:05,Earnings call Q4 2015,2015
71,NTR.TO,NTR.TO_92637,3,2015-11-05 20:28:06,Earnings call Q3 2015,2015
72,NTR.TO,NTR.TO_91880,3,2015-10-29 13:01:01,Earnings call Q3 2015,2015
73,NTR.TO,NTR.TO_88495,2,2015-08-06 20:28:08,Earnings call Q2 2015,2015
74,NTR.TO,NTR.TO_87212,2,2015-07-30 20:44:05,Earnings call Q2 2015,2015
75,NTR.TO,NTR.TO_216951,-1,2015-05-21 10:31:01,Potash's (POT) CEO Jochen Tilk Presents at the BMO Capital Markets Farm to Market Conference - Conference Call Transcript,2015
76,NTR.TO,NTR.TO_217224,-1,2015-05-20 11:46:01,Potash Corp's (POT) CEO Jochen Tilk Presents at the Goldman Sachs Basic Materials Conference,2015
77,NTR.TO,NTR.TO_83900,1,2015-05-06 09:31:01,Earnings call Q1 2015,2015
78,NTR.TO,NTR.TO_83176,1,2015-05-01 05:17:14,Earnings call Q1 2015,2015
79,NTR.TO,NTR.TO_79951,4,2015-02-24 20:45:13,Earnings call Q4 2014,2014
80,NTR.TO,NTR.TO_78116,4,2015-01-30 00:46:04,Earnings call Q4 2014,2014
81,NTR.TO,NTR.TO_217075,-1,2014-12-03 20:26:05,Potash Corporation of Saskatchewan's (POT) CEO Jochen Tilk on Citi 2014 Basic Materials Conference - Conference Call Transcript,2014
